[2024-10-19 19:49:45,166][training.py][line:148][INFO] Epoch:[95/200]	 Best Acc=93.939	Loss: 0.406, Acc@1: 93.561, Acc@5: 99.527, cs_loss: 0.000, lr: 0.053
[2024-10-19 19:50:40,881][training.py][line:148][INFO] Epoch:[96/200]	 Best Acc=93.939	Loss: 0.532, Acc@1: 90.341, Acc@5: 99.811, cs_loss: 0.000, lr: 0.052
[2024-10-19 19:51:36,695][training.py][line:148][INFO] Epoch:[97/200]	 Best Acc=93.939	Loss: 0.471, Acc@1: 91.761, Acc@5: 99.811, cs_loss: 0.000, lr: 0.052
[2024-10-19 19:52:31,750][training.py][line:148][INFO] Epoch:[98/200]	 Best Acc=93.939	Loss: 1.170, Acc@1: 75.284, Acc@5: 99.242, cs_loss: 0.000, lr: 0.051
[2024-10-19 19:53:26,602][training.py][line:148][INFO] Epoch:[99/200]	 Best Acc=93.939	Loss: 0.568, Acc@1: 89.678, Acc@5: 99.527, cs_loss: 0.000, lr: 0.050
[2024-10-19 19:54:21,376][training.py][line:148][INFO] Epoch:[100/200]	 Best Acc=93.939	Loss: 0.423, Acc@1: 92.992, Acc@5: 99.811, cs_loss: 0.000, lr: 0.049
[2024-10-19 19:55:16,355][training.py][line:148][INFO] Epoch:[101/200]	 Best Acc=93.939	Loss: 0.557, Acc@1: 89.962, Acc@5: 99.621, cs_loss: 0.000, lr: 0.048
[2024-10-19 19:56:11,325][training.py][line:148][INFO] Epoch:[102/200]	 Best Acc=93.939	Loss: 0.511, Acc@1: 91.004, Acc@5: 99.432, cs_loss: 0.000, lr: 0.048
[2024-10-19 19:57:06,597][training.py][line:148][INFO] Epoch:[103/200]	 Best Acc=93.939	Loss: 0.445, Acc@1: 92.140, Acc@5: 99.716, cs_loss: 0.000, lr: 0.047
[2024-10-19 19:58:01,820][training.py][line:148][INFO] Epoch:[104/200]	 Best Acc=94.413	Loss: 0.353, Acc@1: 94.413, Acc@5: 99.905, cs_loss: 0.000, lr: 0.046
[2024-10-19 19:58:57,772][training.py][line:148][INFO] Epoch:[105/200]	 Best Acc=94.413	Loss: 0.406, Acc@1: 93.561, Acc@5: 99.337, cs_loss: 0.000, lr: 0.045
[2024-10-19 19:59:54,578][training.py][line:148][INFO] Epoch:[106/200]	 Best Acc=94.413	Loss: 0.584, Acc@1: 89.205, Acc@5: 99.527, cs_loss: 0.000, lr: 0.045
[2024-10-19 20:00:50,558][training.py][line:148][INFO] Epoch:[107/200]	 Best Acc=94.413	Loss: 0.635, Acc@1: 88.447, Acc@5: 99.432, cs_loss: 0.000, lr: 0.044
[2024-10-19 20:01:46,588][training.py][line:148][INFO] Epoch:[108/200]	 Best Acc=94.413	Loss: 0.554, Acc@1: 89.110, Acc@5: 99.432, cs_loss: 0.000, lr: 0.043
